JUNHO - produção;978.924,91;276.936,47;1.255.861,38;191.373,03;736.383,50;927.756,53;2.183.617,91;18.490,13;46.062,50;264.150,70;310.213,20;131.320,23;2.158.634,59;1.729.330,05;3.887.964,64;1.497.523,99;2.721.499,45;4.219.023,44;8.106.988,08;353.434,32;1.420.893,61;1.774.327,93;3.537.056,32;53%;3.841.121,19;71%;7.378.177,51;1.688.897,02;59%;3.457.882,95;94%;5.146.779,97;12.524.957,48; 12.420.414,08 ;-104.543,40;0,835%;Julho - PA de 08/25;;;; 54.096.602,92 ; 41.571.645,44 ; 54.096.602,92 ;
rateio/previsão;;;;;;;2.165.391,67; 18.335,80 ;;;307.623,91;130.224,13;;;;;;;8.039.320,62;;;1.759.517,96;;;;;;;;;;;; 12.420.414,08 ;;;;;;;;;;* valor acrescido sentenças judiciais
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CIPOI;47.245,00;254.046,80;;301.291,80;;Total AIH faturado fevereiro;6.839.204,77;245.469,63;3,59%;839.436,76;12,27%;2.362.725,69;34,55%;3.391.572,69;49,59%;6.839.204,77;100%;;Produção MAC;;;12.899.204,14;13.163.296,36;;;;;;;;;;;;;;;;;;;;
;GASTRO;;115.535,78;;115.535,78;;"Valor pago em março ""referente"" à AIH";6.329.261,35;227.166,97;;776.846,84;;2.186.556,61;;3.138.690,92;;6.329.261,35;;;Nefrlogia - março;;;325.992,10;6.834.035,01;;;;;;;;;;;;;;;;;;;;
;HC;2.512.595,72;1.540.103,49;93.513,86;4.146.213,07;;;;;;;;;;;;0,00;;;;;;;;;Gestão plena incentivos março;;;4.598.109,92;6.329.261,35;;;;;;;;;;;;;;
;HEMO;505.738,27;1.377.033,73;;1.882.772,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total Geral;4.031.916,78;3.532.416,78;93.513,86;7.657.847,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
